Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
29-12-1989,8.1733345,-0.13060748,-1.0599665,-0.77945496,1.33487064,30
02-01-1990,7.5583343,0.70043978,-0.00218172,1.31874773,0.25000714,9.09717328
03-01-1990,7.599083,0.43018819,0.31022209,1.30310292,0.24499651,8.39720422
04-01-1990,7.59226416,0.0769793,0.93777276,1.32310334,0.1563469,8.9807495
05-01-1990,7.5799928,0.43445031,0.13278992,1.46393869,0.28379842,9.6793131
08-01-1990,7.57513209,0.42257719,0.01334636,1.59148682,0.34179505,9.83351202
09-01-1990,7.61647856,0.38947637,-0.25885924,1.49347105,0.56060404,10.29086653
10-01-1990,7.71028163,0.26885328,-0.49522596,1.21073421,0.76550261,9.56824663
11-01-1990,7.70574902,0.23860476,-0.38632147,1.21607921,0.65959771,10.33688315
12-01-1990,7.92202256,0.02468962,-0.70486217,0.77235527,0.84656903,9.31242203
16-01-1990,8.02511561,0.05566892,-0.70828366,0.60688816,0.4824562,9.14499943
17-01-1990,8.14692999,-0.11071521,-0.765612,0.22931174,0.70473601,8.99065669
18-01-1990,8.27936452,-0.13305895,-1.48564505,0.91583423,0.81935975,1.15938539
19-01-1990,8.23048578,-0.11089394,-1.45865134,0.94054694,1.00681609,1.26515663
22-01-1990,8.29621203,-0.32723797,-1.97824626,1.7507379,1.01033654,0.8214853
23-01-1990,8.25626079,-0.13790507,-2.1848467,1.53422608,0.85168685,0.85098379
24-01-1990,8.37227376,-0.25162832,-2.16037495,1.55842793,0.96519372,1.04770485
25-01-1990,8.42467257,-0.20139382,-2.31481567,1.40805836,0.68889128,0.68930554
26-01-1990,8.52731528,-0.38249187,-2.18482031,1.54179262,0.95061877,0.95023467
29-01-1990,8.50261792,-0.36855335,-2.20081057,1.52737783,0.7940193,0.79449857
30-01-1990,8.50845606,-0.31387634,-2.21349766,1.51549693,0.92775161,1.10241926
31-01-1990,8.42283668,-0.2194459,-2.21631022,1.51308996,0.71160937,0.71216011
01-02-1990,8.38098916,-0.21650118,-2.16486987,1.56378395,0.76259271,0.83262605
